// todo : cache this sql...
//full joins are not supported.. yet!
//kinda ugly, but needed for collections with a "." node mapping
//just a performance opt!
//we *could* regerate this inside each called method!
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// Handle actions
//noop
// Initial load from JBC
"//	private final List extendsQueue;"
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...
//if it is a property of an embedded component, invoke on the "identifier"
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
//TODO: really bad, evil hack to fix!!!
// we need to writeObject() on this since interceptor is user defined
// todo : potentially look at optimizing these two arrays
//get a snapshot
// finally, what it's all about...
//null caused some problems
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
// Should mean that no such property was found
// boolean
// Need to use the identifier type of the collection owner // since the incoming is value is actually the owner's id. // Using the collection's key type causes problems with // property-ref keys...
// TODO: bindpropertyresults(alias, returnElem)
//return classAlias == null ? className : classAlias;
// just decrement the lock, don't recache // (we don't know which transaction won)
// simple cache of param metadata based on query string.  Ideally, the // original "user-supplied query" string should be used to retreive this // metadata (i.e., not the para-list-expanded query string) to avoid // unnecessary cache entries. // Used solely for caching param metadata for native-sql queries, see // getSQLParameterMetadata() for a discussion as to why...
// getfield // old value of the field
// The syntax used to add a column to a table
// LIMIT support (ala TOP) ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// This just handles a particular case of component // projection, perhaps get rid of it and throw an exception
// If we are in the process of releasing, no sense // checking for aggressive-release possibility.
// Validate that an alias name was provided to determine which pool to use
// Does the collection referenced by this FromElement // specify an order-by attribute?  If so, attach it to // the query's order-by
// for merging of versioned entities, we consider the version having // been changed only when: // 1) the two version values are different; //      *AND* // 2) The target actually represents database state! // // This second condition is a special case which allows // an entity to be merged during the same transaction // (though during a seperate operation) in which it was // originally persisted/saved
// orphans should not be deleted during copy??
//do we even really need this? the update will fail anyway....
// NativeSQL: collect element column and auto-aliases
//note that each iteration of the loop may add new elements
// ie. we never have to null out a reference to // an uninitialized proxy
//inject the data
//will be ignored, using the existing Entry instead
// Search for collections by reachability, updating their role. // We don't want to touch collections reachable from a deleted object
// join.getKey().setType( new Type( lazz.getIdentifier() ) );
//decide which ResultSet to get the property value from:
// or BYTE // or TEXT? // or MONEY
// we do not actually propogate ANTLRExceptions as a cause, so // log it here for diagnostic purposes
//we need to check even if it was not initialized, because of delayed adds!
// Finally, read ahead one row to position result set cursor // at the first physical row we are interested in loading
//map second/minute/hour/day/month/year to ANSI extract(), override on subclasses
// State ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Notify the FROM element that it is being referenced by the select.
//TODO: return new Lock(ts);
// we need to determine the best way to know that two joinables // represent a single many-to-many...
//null version means the object is in the process of being loaded somewhere else in the ResultSet
//if there is a user-specified loader, return that //TODO: filters!?
// Downgrade locks
// for dialects which are known to not support ANSI-SQL row-value-constructor syntax, // we should mutate the tree.
// saveOrUpdate() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//ugly little workaround for fact that createUniqueKeyLoaders() does not handle component properties
// on the inverse, it makes sense that if a ThreadLocalSessionContext- // bound session then gets deserialized to go ahead and re-bind it to // the ThreadLocalSessionContext session map.
//overwrite old proxy
// this has been shown to happen occasionally in rare cases // when using a transaction manager + transaction-timeout // where the timeout calls back through Hibernate's // registered transaction synchronization on a separate // "reaping" thread.  In cases where that reaping thread // executes through this block at the same time the main // application thread does we can get into situations where // these CMEs occur.  And though it is not "allowed" per-se, // the end result without handling it specifically is infinite // looping.  So here, we simply break the loop
// an unfetched association can only point to // an entity that already exists in the db
//not sure if this would ever be null but wanted to be careful
//use of trim() here is ugly?
//registerColumnType data types
// a "detached" collection that belonged to a different entity
/* | this | bean | args | raw bean | */
// continue loop
//swaldman 2006-08-28: define c3p0-style configuration parameters for properties with //                     hibernate-specific overrides to detect and warn about conflicting //                     declarations
// this is only needed (afaict) for ResultTransformer processing...
// DotNode uses null here...
// *store_1 // each type
// seems to have spotty LOB suppport
// strip off any leading 'and' token
// else this is not a collection initializer (and empty collections will // be detected by looking for the owner's identifier in the result set)
// A collection of scalar elements...
//work around a bug in all known connection pools....
// Create a new THETA_JOINS node as a parent of all filters
// Don't hold the JBC node lock throughout the tx, as that // prevents reads and other updates
// Configured using the Properties File Configurator
// PHASE 2 : Analyze the HQL AST, and produce an SQL AST.
// for some reason the antlr.CommonAST initialization routines force // this method to get called twice.  The first time with an empty string
//swallow it (the transaction _was_ successful or successfully rolled back)
// create an index on the key columns??
//"as" is not in KEYWORDS
// Collection Types:
// wrapped iterators
//Sybase BIT type does not support null values
"/*public Type[] getSqlResultTypes() {		return sqlResultTypes;	}*/"
// select clauses for insert statements should alwasy be treated as shallow
// so the transaction is already rolled back, by JTA spec
// now update the object .. has to be outside the main if block above (because of collections)
// the database now holds a lock + the object is flushed from the cache, // so release the soft lock
// do *not* over-write the column text, as that has already been // "rendered" during resolve
// at some point the generate phase needs to be moved out of here, // because a single object-level DML might spawn multiple SQL DML // command executions. // // Possible to just move the sql generation for dml stuff, but for // consistency-sake probably best to just move responsiblity for // the generation phase completely into the delegates // (QueryLoader/StatementExecutor) themselves.  Also, not sure why // QueryLoader currently even has a dependency on this at all; does // it need it?  Ideally like to see the walker itself given to the delegates directly...
// if a ThreadLocalSessionContext-bound session happens to get // serialized, to be completely correct, we need to make sure // that unbinding of that session occurs.
// if the current depth is 0, the root thing being loaded is the // many-to-many collection itself.  Here, it is alright to use // an inner join...
