// line 706
// produce a nicer error since Rubyists aren't used to seeing this
// line 1326
// line 821
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 574
// ok, now it gets expensive...
// MRI also does a pointer comparison here
// synchronize on the RubyThread for threadgroup updates
// Scope (method/closure) to which this cfg belongs // Entry BB -- dummy // Exit BB -- dummy // The actual graph // Next available basic block id
// variable args with block
// line 916
// line 1886
// jump and branch operations
// line 1516
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// trigger class initialization for the class
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println(" calculateLength()/str=" + str);
// line 457
// leave as a normal array
// We want unique ids for dataflow variables
//          context.swapValues(); //context.consumeCurrentValue();
// FIXME: This is gross. Don't do this.
// we know variables cannot be null since localstaticscope will create a 0 length one.
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
/* --------- "Abstract"/"please-override" methods --------- */
// CON: popen is a case where I think we should just always shell out.
// The assumption here is that the 'in' stream provides // proper available() support. If available() always // returns 0, we'll hang!
// Init
// This method is called to build assignments for a multiple-assignment instruction
// FIXME: DSTR,EVSTR,STR: warning "string literal in condition"
// generate symbols initialization code
// Handle ~user paths.
// RubyDigest
// Broken symlinks considered by exists() as non-existing, // so we need to check for symlinks explicitly.
//yyLhs 496
// invoke __file__ with threadcontext, self, args (null), and block (null)
// signed short, little-endian
/* ******************** PUBLIC INTERFACE ******************* */
// otherwise, we try an unbuffered read to get whatever's available
// Was a goto in original ruby lexer
// tail must be EvStrNode at this point
/* EvStrNode :"#{some expression}"*/
// invoke
// line 869
// seek to force read buffer to invalidate
// end of parseable data, go to calc
// new factory methods ------------------------------------------------------------------------
// // Register any new blocking I/O requests //
// we won't enter the loop -- just build the condition node
//yyGindex 152
// line 1087
// MRI behavior: Contrary to what seems to be logical, // when '*' is given, MRI calculates the distance // to the end, in order to go backwards.
// TODO: this code should really check if a Ruby equals method is implemented or not.
// only arrays that are "lightweight" are being used as args arrays
/* MRI: range_op */
// NOT REACHED HERE
// line number
// 'Z' adds extra null pad (versus 'a')
// line 1175
// line 2006
// Marker delimiting heredoc boundary
// FIXME: Translate this call below! // s.unwrapPassedBlock();
// with block literal (iter)
// NOTE: if 's' happens to the a class, this is effectively an assignment of a class instance variable
// self // method name
// vertical tab
// If there's no second argument, simply use the working directory  // of the runtime.
// note: intentionally returning the actual array returned from Java, rather // than wrapping it in a RubyArray. wave of the future, when java_class will // return the actual class, rather than a JavaClass wrapper.
// Get the main threadcontext (gets constructed for us)
// MBCLEN_NEEDMORE_P
// TODO: This isn't an exact port of MRI's pipe behavior, so revisit
// Java and MRI definitions of divmod are different.
// 1.9 only
// fast and safe respond_to? call site logic
// try the normal property first
// List of active dynamic scopes.  Each of these may have captured other dynamic scopes // to implement closures.
// line 1825
// ?C  | Time    | Last change time for file1
// promise to implement N with block
// This represents left most digit in a set of incremented // values?  Therefore leftmost numeric must be '1' and not '0' // 999 -> 1000, not 999 -> 0000.  whereas chars should be // zzz -> aaaa and non-alnum byte values should be "\377" -> "\001\000"
// For visibility we need real meta class and not anonymous one from class << self
// line 977
// TODO: Ruby logic is somewhat more complicated here, see comments after
// line 1731
// Get a new label using a generic prefix
// If this is not a closure, the break is equivalent to jumping to the loop end label
// just windows
// line 1217
// promise to implement zero to N with block
// TODO: don't calculate the same value 3 times
// virtual invocation
// add all startup load paths to the list first
// mark as captured if from containing scope
// Satisfy java.util.Set interface (for Java integration)
// line 1342
// No seconds, just yield
// use same ClassIndex as metaclass, since we're technically still of that type
// Static constants
// Not that is loaded loop around to resolve it next pass
// line 578
// scripts
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 902
// TODO: FD_CLOEXEC is mysterious and we are not sure how constantine should include this. // We did it here for now
// line 996
// if it's a compiled JRuby script, instantiate and run it
// exceptionNext target is for a next that doesn't push a new value, like this one
// NOTE: Currently this optimization is limited to the following situations: // * All expressions must be int-ranged literal fixnums // It also still emits the code for the "safe" when logic, which is rather // wasteful (since it essentially doubles each code body). As such it is // normally disabled, but it serves as an example of how this optimization // could be done. Ideally, it should be combined with the when processing // to improve code reuse before it's generally available.
// This is for JRUBY-2988, since after a suspend the terminal seems // to need to be reinitialized. Since we can't easily detect suspension, // initialize after every readline. Probably not fast, but this is for // interactive terminals anyway...so who cares?
// NOTE: The indicies here match exactly the signal values; do not reorder
// prepend ./ if . is not already there, since we're loading based on CWD
//yyDefRed 889
//System.err.println(" getSign/" + sign);
// line 760
// line 434
// BASE64
// Tempory buffer to build up a potential token.  Consumer takes responsibility to reset  // this before use.
// use IRubyObject[]
// Node
// Hacky: Advance position to eat newline here....
// line 507
//FIXME: When we get JNA3 we need to properly write this to errno.
// only this case affects backrefs
// in debug mode we append _DBG to class name to force it to regenerate (or use pre-generated debug version)
// "assignment" means the value is already on the stack
// line 964
// TODO: port exact behavior from MRI, and move most locking logic into ChannelDescriptor // TODO: for all LOCK_NB cases, return false if they would block
// SSS FIXME: We need to build debug information tracking into the IR in some fashion // So, these methods below would have to have equivalents in IR_Scope implementations.
// Class method
// this is ensured by the callers
// direct invocation of the command
// bouncy castle doesn't support algorithm
// exception handling for monitor release
// SSS FIXME: Can this ever be null?
// break jump
// Assign the values.
// FIXME: set up a CallConfiguration for this
