//no big deal
// TODO : or should we return 'containsTableAlias'??
// note: interfaces is assumed to already contain HibernateProxy.class
// Write any appropriate versioning conditional parameters
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// perhaps this should be an exception since it is only ever used // in the above method?
// really there are two situations where it should be ok to allow the insertion // into properties defined on a superclass: //      1) union-subclass with an abstract root entity //      2) discrim-subclass // // #1 is handled already because of the fact that // UnionSubclassPersister alreay always returns 0 // for this call... // // we may want to disallow it for discrim-subclass just for // consistency-sake (currently does not work anyway)...
// would be better to use the element-type to determine // whether the old and the new are equal here; the problem being // we do not necessarily have access to the element type in all // cases
// add the main query
//TODO: currently keeps Getters and Setters (instead of PropertyAccessors) because of the way getGetter() and getSetter() are implemented currently; yuck!
//log.debug( "calling onLoad()" );
"/*public static Object[] clone(Class elementClass, Object[] array) {		Object[] result = (Object[]) Array.newInstance( elementClass, array.length );		System.arraycopy(array, 0, result, 0, array.length);		return result;	}*/"
//lazy = !join;
"/*public boolean equals(Object other) {		read();		return bag.equals(other);	}	public int hashCode(Object other) {		read();		return bag.hashCode();	}*/"
//allow index() function:
//ignore subselect keywords
//inject the data
// We have the JBCWriteMutex, so no other *local* thread will  // be trying to write this key.  // It's possible here some remote thread has come in and // changed the values again, but since we are reading the // values to write to JBC right now, we know we are writing // the latest values; i.e. we don't assume that what we cached // in entry.update() above is what we should write to JBC *now*. // Our write could be redundant, i.e. we are writing what // some remote thread just came in an wrote.  There is a chance  // that yet another remote thread will update us, and we'll then // overwrite that later data in JBC.  But, all remote nodes will // ignore that change in their localCache; the only place it  // will live will be in JBC, where it can only effect the  // initial state transfer values on newly joined nodes  // (i.e. populateLocalCache()).
// put the "standard" tuplizers into the tuplizer map first
//if it is initialized, see if the underlying //instance is contained, since we need to  //account for the fact that it might have been //evicted
// TODO: handle TypeDefs
//do we even really need this? the update will fail anyway....
/////////////////////////////////////////////////////////////////////// // Prepare persisters and link them up with their cache // region/access-strategy
// register the standard dialect resolver
//TODO: should orphans really be deleted during lock???
//remember the uk value
// We represent a from-clause alias
// here, we work under the following assumptions: //      ------------ valid cases -------------------------------------- //      1) datetime + {something other than datetime} : always results //              in a datetime ( db will catch invalid conversions ) //      2) datetime - datetime : always results in a DOUBLE //      3) datetime - {something other than datetime} : always results //              in a datetime ( db will catch invalid conversions ) //      ------------ invalid cases ------------------------------------ //      4) datetime + datetime //      5) {something other than datetime} - datetime //      6) datetime * {any type} //      7) datetime / {any type} //      8) {any type} / datetime // doing so allows us to properly handle parameters as either the left // or right side here in the majority of cases
// Among other things, updateReachables() will recursively load all // collections that are moving roles. This might cause entities to // be loaded.
// make sure the lhs is "assignable"...
// Collection 'property function'
//Make 100% certain that this is called before any subsequent ScheduledUpdate.afterTransactionCompletion()!!
// SEQUENCE support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// can't cache this stuff either (per-invocation) // we are given a map of user-alias -> lock mode // create a new map of sql-alias -> lock mode
// VERSION
// we know only the lhs-hand type, so use that
"// Take care of any entities that might have // been evicted!	"
// This check is needed since processing leaves the cursor // after the last physical row for the current logical row; // thus if we are after the last physical row, this might be // caused by either: //      1) scrolling to the last logical row //      2) scrolling past the last logical row // In the latter scenario, the previous logical row // really is the last logical row. // // In all other cases, we should process back two // logical records (the current logic row, plus the // previous logical row).
//if there is a user-specified loader, return that //TODO: filters!?
// TODO : still need to make CollectionPersisters EntityMode-aware
//This is really ugly, but necessary:
// For the case of dynamic-insert="false", use the static SQL
// Handle actions
"//		extendsQueue = new ArrayList();"
//This solution would allow us to eliminate the owner arg to disassemble(), but //what if the collection was null, and then later had elements added? seems unsafe //session.getPersistenceContext().getCollectionEntry( (PersistentCollection) value ).getKey();
//if the collection is dereferenced, remove from the session cache //iter.remove(); //does not work, since the entrySet is not backed by the set
// Case 1: Multi token keywords GROUP BY and ORDER BY // The next token ( LT(2) ) should be 'by'... otherwise, this is just an ident.
"/* This can never happen because this rule will always eliminate the child NOT.			case NOT:				return x.getFirstChild();			// (NOT (NOT x) ) => (x)*/"
// aload_0
//an identifier mapper => getKey will be included in the getNonDuplicatedPropertyIterator() //and checked later, so it needs to be excluded
// A shallow query is ok (although technically there should be no fetching here...)
//cannot batch fetch by unique key (property-ref associations)
"/*public final Currency getCurrency(int col) throws HibernateException {		return (Currency) get(col);	}*/"
// for now, just "re-flatten" the metamodel since this is temporary stuff anyway (HHH-1907)
// TODO : not so sure this is needed...
// orphans should not be deleted during copy??
// 23000: Check constraint violation: {0} // 23001: Unique index or primary key violation: {0}
// the map of batch numbers to EntityInsertAction lists
//TODO
// This is not strictly true.  We actually just need to make sure that // it is ordered by root-entity PK and that that order-by comes before // any non-root-entity ordering...
// a peek ahead showed this as an JPA-positional parameter
// collections don't dirty an unversioned parent entity
// the root of the incoming property path matched one // of the embedded composite identifier properties
